,Failures,Restarts,Propagators,Propagations,Height,Time,Instance
0,1,2,102,538,8,1.617,1
1,91,3,694,19834,17,0.287,10
2,489597,4,1182,119881580,18,32.405,11
3,501,4,922,113990,19,0.325,12
4,7625,4,922,1410735,20,0.595,13
5,74654,4,1048,17792052,21,4.782,14
6,557,3,1182,213544,22,0.325,15
7,46462,5,1632,14297577,23,3.641,16
8,1433,4,1474,517417,24,0.382,17
9,305,2,1632,91482,25,0.345,18
10,147111,3,2154,68739565,26,15.069,19
11,1,2,148,790,9,0.279,2
12,3196,4,1972,2176151,27,0.528,20
13,16939,4,2154,19725672,28,1.186,21
14,17686,5,2542,13448238,29,1.366,22
15,151284,5,1798,43873291,30,14.938,23
16,14771,4,1632,6837059,31,1.163,24
17,,,,,,,
18,,,,,,,
19,37037,4,1972,31515453,34,2.33,27
20,65315,4,2154,24336626,35,5.526,28
21,2259413,4,2344,2783232558,36,196.909,29
22,7,4,202,2621,10,0.266,3
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,0,1,264,849,11,0.261,4
34,,,,,,,
35,10,3,334,4046,12,0.264,5
36,0,1,412,1457,13,0.27,6
37,10,3,412,4839,14,0.272,7
38,9,2,498,4760,15,0.291,8
39,0,1,498,1983,16,0.273,9
